5.30000
   1   0   0
  Station:  ALBIA IA                                       CLIGEN VER. 5.30000 -r:    0 -I: 0
 Latitude Longitude Elevation (m) Obs. Years   Beginning year  Years simulated Command Line:
    41.03   -92.80         286          45           1               1          -istations/ia/Ia130112.par -oOUT.TXT -y1 -t5 -F -b1 -H 
 Observed monthly ave max temperature (C)
   0.0   3.1   9.1  17.3  23.4  28.2  30.7  29.4  25.3  19.2   9.8   2.2
 Observed monthly ave min temperature (C)
  -8.8  -6.8  -2.0   4.9  10.8  15.9  18.5  17.2  12.5   6.5  -0.6  -6.5
 Observed monthly ave solar radiation (Langleys/day)
 175.0 254.0 330.0 411.0 492.0 549.0 524.0 475.0 387.0 286.0 196.0 147.0
 Observed monthly ave precipitation (mm)
  26.4  28.0  59.4  85.9 107.5 111.9 117.7  93.7 104.8  61.4  58.8  33.5
 da mo year  prcp  dur   tp     ip  tmax  tmin  rad  w-vl w-dir  tdew
             (mm)  (h)               (C)   (C) (l/d) (m/s)(Deg)   (C)
  1  1    1   0.0  0.00 0.00   0.00  -9.5 -13.4 132.  7.4  305. -15.0
  2  1    1   1.5  6.13 0.07   1.01  -7.7 -13.0 205.  3.9  130. -11.1
  3  1    1   0.0  0.00 0.00   0.00   0.4 -14.1 164.  7.4  317. -20.0
  4  1    1   0.0  0.00 0.00   0.00   5.8  -2.7 125.  5.9  289.  -1.1
  5  1    1   0.0  0.00 0.00   0.00  18.2   4.9 116.  7.1  297.  10.3
  6  1    1   0.0  0.00 0.00   0.00   5.1  -0.3 145.  3.2   65.  -0.7
  7  1    1   0.0  0.00 0.00   0.00   8.3  -4.2 209.  3.1  176.  -3.7
  8  1    1   2.6  6.70 0.79   7.97   5.9  -3.0 199.  6.8    4.  -8.4
  9  1    1   0.0  0.00 0.00   0.00  -0.6 -11.1 186.  4.7  326.  -9.8
 10  1    1   0.0  0.00 0.00   0.00  -2.7 -13.2 224.  4.3  347. -18.2
 11  1    1   0.0  0.00 0.00   0.00  -5.5 -12.1 230.  8.8  340. -10.5
 12  1    1   0.0  0.00 0.00   0.00   0.8  -4.2 168.  6.8  322.  -3.1
 13  1    1   0.0  0.00 0.00   0.00  -7.4 -10.5 118.  3.5  254. -10.7
 14  1    1   0.0  0.00 0.00   0.00  -5.2  -9.4 137.  7.0  336. -11.3
 15  1    1   0.0  0.00 0.00   0.00  -6.6 -12.1 142.  2.7   96. -15.9
 16  1    1   0.0  0.00 0.00   0.00   2.8  -5.5 170. 10.5  304.  -2.7
 17  1    1   0.0  0.00 0.00   0.00  -5.3 -14.6 151.  7.0  320. -10.0
 18  1    1   0.0  0.00 0.00   0.00  -3.5 -15.2 130.  0.7  184. -16.0
 19  1    1   0.0  0.00 0.00   0.00 -10.6 -11.1 154.  5.6  311. -12.0
 20  1    1   0.0  0.00 0.00   0.00  -0.7 -13.6 118.  2.4   93. -14.1
 21  1    1   0.0  0.00 0.00   0.00   2.4  -4.8 120.  0.0    0.  -1.3
 22  1    1   0.0  0.00 0.00   0.00  11.9   0.9 128.  4.4  186.   0.9
 23  1    1   0.0  0.00 0.00   0.00  -0.8  -7.2 206.  4.8  204. -12.2
 24  1    1   0.0  0.00 0.00   0.00   0.5 -11.3 196.  5.0   77. -14.3
 25  1    1   0.0  0.00 0.00   0.00   8.8  -4.0 250.  1.7  314.  -6.5
 26  1    1   0.0  0.00 0.00   0.00  -3.2  -9.7 184.  8.5  210.  -6.5
 27  1    1   0.0  0.00 0.00   0.00  11.3  -1.9 166.  5.2  269.  -2.0
 28  1    1  13.2  3.53 0.08   3.84  15.8  -2.5 214.  6.4  220.  -4.7
 29  1    1   0.0  0.00 0.00   0.00  -2.1 -11.6 179.  4.4  169.  -9.3
 30  1    1   0.0  0.00 0.00   0.00   5.3 -10.9 172.  5.3  231. -11.4
 31  1    1   0.0  0.00 0.00   0.00 -13.0 -14.4 226.  6.9   26. -14.8
  1  2    1   1.5  6.15 0.02   5.15  13.4   0.3 241.  5.3  260.   2.4
  2  2    1   0.0  0.00 0.00   0.00  -4.7 -14.2 162.  8.4   63. -12.6
  3  2    1   0.0  0.00 0.00   0.00   9.3  -1.1 194.  4.1  112.   3.1
  4  2    1   0.0  0.00 0.00   0.00  15.5   6.1 177.  5.1   27.   5.9
  5  2    1   0.0  0.00 0.00   0.00   3.3  -1.8 229.  7.9   87.  -3.6
  6  2    1   0.0  0.00 0.00   0.00   3.4  -9.4 308.  5.6  175. -10.1
  7  2    1   0.0  0.00 0.00   0.00   2.0 -12.0 301.  5.1  268. -10.7
  8  2    1   0.0  0.00 0.00   0.00  13.6  -1.3 234.  1.8   37.  -0.4
  9  2    1   0.0  0.00 0.00   0.00   0.9  -9.3 299. 10.4  310.  -6.4
 10  2    1   0.0  0.00 0.00   0.00  -9.2 -14.3 312.  0.5  313. -15.4
 11  2    1   0.0  0.00 0.00   0.00   8.8  -3.7 281.  9.0  281.  -2.7
 12  2    1   0.0  0.00 0.00   0.00  -1.3  -4.4 319.  1.4  284.  -5.4
 13  2    1   0.0  0.00 0.00   0.00   0.7  -7.9 306.  3.5  359. -10.1
 14  2    1   0.0  0.00 0.00   0.00  -4.6 -11.8 285.  4.1  334. -14.5
 15  2    1   0.0  0.00 0.00   0.00  -7.1 -14.2 148.  6.5  139. -14.8
 16  2    1   7.9  2.49 0.34   1.17   6.0   0.1 187.  4.6  253.   2.8
 17  2    1   0.0  0.00 0.00   0.00  -7.0 -15.0 259.  6.0  299. -11.6
 18  2    1   0.0  0.00 0.00   0.00   4.0  -2.9 210.  5.4  337.  -3.8
 19  2    1   0.0  0.00 0.00   0.00   9.3  -3.0 298.  5.5  322.  -5.1
 20  2    1   1.9  3.45 0.07   1.01   4.7  -8.1 290.  8.3  298. -10.3
 21  2    1  14.7  3.42 0.08   1.01  -1.4  -9.7 153.  3.2  275.  -7.7
 22  2    1   0.0  0.00 0.00   0.00  -3.2  -9.7 197.  3.9  116. -14.1
 23  2    1   3.4  1.61 0.02   1.01   5.4  -8.9 185.  4.9  253. -10.1
 24  2    1   0.7  4.73 0.03   1.01   3.0  -6.6 320.  5.2  117.  -2.7
 25  2    1   4.7  2.44 0.00   1.01   0.9  -9.1 252.  6.1   22.  -9.0
 26  2    1   0.0  0.00 0.00   0.00  -4.0 -16.4 190.  5.1  352. -19.1
 27  2    1   0.0  0.00 0.00   0.00 -10.5 -13.6 277.  5.7  136. -12.1
 28  2    1   0.7  2.58 0.07   3.09   9.7  -4.3 213.  4.9  322.  -4.7
  1  3    1  12.3  1.69 0.08   1.01   0.8 -12.3 343.  3.5  122. -12.4
  2  3    1  10.1  3.18 0.03   3.51  23.8   0.1 255.  3.0   45.  -1.0
  3  3    1   1.8  2.28 0.01   2.44   8.1  -2.4 398.  8.0  308.  -5.6
  4  3    1   0.0  0.00 0.00   0.00   2.5  -7.2 337.  1.4  263.  -9.1
  5  3    1   0.0  0.00 0.00   0.00  11.3  -4.4 303.  5.1  295.  -8.0
  6  3    1   3.6  0.39 0.02   1.01  11.4   2.6 326.  4.5  162.  -1.6
  7  3    1   0.0  0.00 0.00   0.00   1.7 -14.8 401. 10.9  290. -12.4
  8  3    1   0.3  2.99 0.04   4.53  14.8   4.2 250.  6.0  185.   6.0
  9  3    1   8.3  1.18 0.16   1.10  11.6  -3.2 256.  4.4  119.  -3.4
 10  3    1  23.9  2.54 0.04   1.01   5.5   4.0 381.  6.6  113.  -2.4
 11  3    1   0.0  0.00 0.00   0.00   7.3  -2.6 341.  8.4  330.  -0.8
 12  3    1   0.3  6.74 0.06  11.53  17.8   7.2 469.  6.5  289.   5.1
 13  3    1   0.0  0.00 0.00   0.00  11.9  -0.6 444.  6.6  102.  -0.6
 14  3    1   1.6  2.74 0.91   5.16  12.2  -3.5 310. 12.1  325.  -3.4
 15  3    1   0.0  0.00 0.00   0.00   1.3 -11.1 435.  6.1  329. -10.7
 16  3    1   0.0  0.00 0.00   0.00  10.6   1.4 298.  7.9  164.   0.7
 17  3    1   0.0  0.00 0.00   0.00  14.5   3.9 248.  5.9  190.   0.8
 18  3    1   0.0  0.00 0.00   0.00   9.1  -9.2 252.  5.6   44.  -8.8
 19  3    1   3.8  4.37 0.13   1.01   4.6  -6.1 297.  7.2  355.  -7.2
 20  3    1   0.0  0.00 0.00   0.00  11.4  -0.0 379.  5.6  328.   3.8
 21  3    1   0.0  0.00 0.00   0.00  13.7  -0.6 367.  5.7  101.   6.2
 22  3    1   0.0  0.00 0.00   0.00   6.0  -5.5 309.  6.6  172.  -8.2
 23  3    1   0.0  0.00 0.00   0.00  10.1   0.7 261. 10.7  160.  -1.0
 24  3    1   0.0  0.00 0.00   0.00  12.3   8.2 275.  1.9  125.   9.0
